"Compatibility","EXPA","EXPB","Shape","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color1","color2","color3","color4","color_backend","compensation","coordinates","correct","correct_Target_response","correct_response","count_Block_EXPERIMENT_A","count_Block_EXPERIMENT_B","count_Block_Parctice_B","count_Block_Practice_A","count_Block_reset_EXPERIMENT_A","count_Block_reset_EXPERIMENT_B","count_Block_reset_Practice_A","count_Block_reset_Practice_B","count_Decide_Color","count_EXPERIMENT_A","count_EXPERIMENT_B","count_EXP_A","count_EXP_B","count_Feedback","count_Initial","count_Intertrial","count_Practice_A","count_Practice_B","count_Prepare","count_Prepare_circle_compatible","count_Prepare_circle_incompatible","count_Prepare_rect_compatible","count_Prepare_rect_incompatible","count_Procedure_Ins01","count_Procedure_Ins02","count_Procedure_Ins03","count_Ready","count_Response_Ins","count_Select_Experiment","count_Target","count_Target_circle_compatible","count_Target_circle_incompatible","count_Target_rect_compatible","count_Target_rect_incompatible","count_Target_response","count_Target_response_BadResponse","count_Target_response_Correct","count_Target_response_Wrong","count_Target_response_logger","count_Title","count_Trial","count_Trial_EXPERIMENT_A","count_Trial_EXPERIMENT_B","count_Trial_Practice_A","count_Trial_Practice_B","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Feedback","response_Procedure_Ins01","response_Procedure_Ins02","response_Procedure_Ins03","response_Ready","response_Response_Ins","response_Target_response","response_Title","response_time","response_time_Feedback","response_time_Procedure_Ins01","response_time_Procedure_Ins02","response_time_Procedure_Ins03","response_time_Ready","response_time_Response_Ins","response_time_Target_response","response_time_Title","sampler_backend","soa","start","subject_nr","subject_parity","time_Block_EXPERIMENT_A","time_Block_EXPERIMENT_B","time_Block_Parctice_B","time_Block_Practice_A","time_Block_reset_EXPERIMENT_A","time_Block_reset_EXPERIMENT_B","time_Block_reset_Practice_A","time_Block_reset_Practice_B","time_Decide_Color","time_EXPERIMENT_A","time_EXPERIMENT_B","time_EXP_A","time_EXP_B","time_Feedback","time_Initial","time_Intertrial","time_Practice_A","time_Practice_B","time_Prepare","time_Prepare_circle_compatible","time_Prepare_circle_incompatible","time_Prepare_rect_compatible","time_Prepare_rect_incompatible","time_Procedure_Ins01","time_Procedure_Ins02","time_Procedure_Ins03","time_Ready","time_Response_Ins","time_Select_Experiment","time_Target","time_Target_circle_compatible","time_Target_circle_incompatible","time_Target_rect_compatible","time_Target_rect_incompatible","time_Target_response","time_Target_response_BadResponse","time_Target_response_Correct","time_Target_response_Wrong","time_Target_response_logger","time_Title","time_Trial","time_Trial_EXPERIMENT_A","time_Trial_EXPERIMENT_B","time_Trial_Practice_A","time_Trial_Practice_B","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"n","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","blue","yellow","green","red","legacy","0","uniform","0","0","/","NA","NA","NA","0","NA","NA","0","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","9576","NA","NA","8910","NA","NA","11203","9679","8910","NA","12203","NA","NA","NA","12238","7225","7513","7729","8097","6056","2752","12738","NA","NA","NA","12741","12741","14845","NA","14743","14945","4681","9576","NA","NA","8913","NA","2752","Hommel2002EXP01","0","2000","1","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","blue","red","green","yellow","legacy","0","uniform","0","0","/","NA","NA","NA","0","NA","NA","0","NA","1","0","0","0","0","NA","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","15691","NA","NA","8910","NA","NA","17308","15791","8910","NA","18309","NA","NA","18311","12238","7225","7513","7729","8097","6056","2752","19812","NA","NA","19814","12741","19815","21919","NA","21817","22019","4681","15691","NA","NA","8913","NA","2752","Hommel2002EXP01","0","4000","2","yes","1024"
"y","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","yellow","red","blue","green","legacy","0","uniform","0","0","/","NA","NA","NA","0","NA","NA","0","NA","2","0","0","0","0","NA","2","2","0","0","2","2","2","2","2","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","0","2","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","22747","NA","NA","8910","NA","NA","24364","22846","8910","NA","25365","NA","NA","25368","12238","7225","7513","7729","8097","6056","2752","26368","NA","NA","26370","12741","26371","28475","NA","28373","28575","4681","22747","NA","NA","8913","NA","2752","Hommel2002EXP01","0","6000","3","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","blue","yellow","red","green","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","3","0","0","0","0","NA","3","3","0","0","3","3","3","3","3","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","3","0","3","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","29300","NA","NA","8910","NA","NA","30924","29405","8910","NA","31924","31926","NA","25368","12238","7225","7513","7729","8097","6056","2752","33426","33428","NA","26370","12741","33429","35534","NA","35431","35634","4681","29300","NA","NA","8913","NA","2752","Hommel2002EXP01","0","8000","4","yes","1024"
"n","yes","no","rect","0","0","2000","2000","black","no","xpyriment","legacy","blue","yellow","green","red","legacy","0","uniform","0","0","/","NA","NA","NA","0","NA","NA","0","NA","4","0","0","0","0","NA","4","4","0","0","4","4","4","4","4","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","0","4","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","36376","NA","NA","8910","NA","NA","37984","36465","8910","NA","38984","31926","NA","25368","38986","7225","7513","7729","8097","6056","2752","39986","33428","NA","26370","39988","39989","42093","NA","41991","42193","4681","36376","NA","NA","8913","NA","2752","Hommel2002EXP01","0","10000","5","yes","1024"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","yellow","red","green","blue","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","5","0","0","0","0","NA","5","5","0","0","5","5","5","5","5","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","0","5","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","42916","NA","NA","8910","NA","NA","44538","43019","8910","NA","45542","31926","45544","25368","38986","7225","7513","7729","8097","6056","2752","46044","33428","46046","26370","39988","46047","48151","NA","48049","48251","4681","42916","NA","NA","8913","NA","2752","Hommel2002EXP01","0","12000","6","yes","1024"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","green","red","blue","yellow","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","6","0","0","0","0","NA","6","6","0","0","6","6","6","6","6","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","0","6","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1000","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","48985","NA","NA","8910","NA","NA","50610","49095","8910","NA","51610","31926","51612","25368","38986","7225","7513","7729","8097","6056","2752","52613","33428","52615","26370","39988","52616","54720","NA","54618","54820","4681","48984","NA","NA","8913","NA","2752","Hommel2002EXP01","0","14000","7","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","yellow","blue","green","red","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","7","0","0","0","0","NA","7","7","0","0","7","7","7","7","7","0","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","0","7","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2001","NA","285","213","365","813","1166","2001","1372","legacy","0","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","55549","NA","NA","8910","NA","NA","57190","55672","8910","NA","58190","58192","51612","25368","38986","7225","7513","7729","8097","6056","2752","58193","58195","52615","26370","39988","58195","60300","NA","60198","60400","4681","55549","NA","NA","8913","NA","2752","Hommel2002EXP01","0","16001","8","yes","1024"
"n","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","green","blue","red","yellow","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","8","0","0","0","0","NA","8","8","0","0","8","8","8","8","8","0","0","0","0","0","0","8","8","8","8","8","8","8","8","8","8","0","8","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2001","NA","285","213","365","813","1166","2001","1372","legacy","0","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","61138","NA","NA","8910","NA","NA","62779","61264","8910","NA","63779","58192","63781","25368","38986","7225","7513","7729","8097","6056","2752","63782","58195","63784","26370","39988","63784","65889","NA","65787","65989","4681","61138","NA","NA","8913","NA","2752","Hommel2002EXP01","0","18002","9","yes","1024"
"y","yes","no","circle","0","0","2000","2000","black","no","xpyriment","legacy","yellow","red","blue","green","legacy","0","uniform","0","0","z","NA","NA","NA","0","NA","NA","0","NA","9","0","0","0","0","NA","9","9","0","0","9","9","9","9","9","0","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","0","9","NA","NA","0","NA","0","12/24/15 14:39:33","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","yes","0","None","NA","space","space","space","space","space","None","space","2000","NA","285","213","365","813","1166","2000","1372","legacy","1500","experiment","999","odd","NA","NA","NA","8913","NA","NA","NA","NA","66760","NA","NA","8910","NA","NA","68403","66901","8910","NA","69403","69405","63781","25368","38986","7225","7513","7729","8097","6056","2752","70905","70908","63784","26370","39988","70908","73012","NA","72910","73112","4681","66760","NA","NA","8913","NA","2752","Hommel2002EXP01","0","20002","10","yes","1024"
