"Compatibility","EXPA","EXPB","Shape","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color1","color2","color3","color4","color_backend","compensation","coordinates","correct","correct_Target_response","correct_response","count_Block_EXPERIMENT_A","count_Block_EXPERIMENT_B","count_Block_Parctice_B","count_Block_Practice_A","count_Block_reset_EXPERIMENT_A","count_Block_reset_EXPERIMENT_B","count_Block_reset_Practice_A","count_Block_reset_Practice_B","count_Break","count_Decide_Color","count_EXPERIMENT_A","count_EXPERIMENT_B","count_EXP_A","count_EXP_B","count_Feedback","count_Initial","count_Intertrial","count_Practice_A","count_Practice_B","count_Prepare","count_Prepare_circle_compatible","count_Prepare_circle_incompatible","count_Prepare_rect_compatible","count_Prepare_rect_incompatible","count_Procedure_Ins01","count_Procedure_Ins02","count_Procedure_Ins03","count_Ready","count_Response_Ins","count_Select_Experiment","count_Target","count_Target_circle_compatible","count_Target_circle_incompatible","count_Target_rect_compatible","count_Target_rect_incompatible","count_Target_response","count_Target_response_BadResponse","count_Target_response_Correct","count_Target_response_Wrong","count_Target_response_logger","count_Title","count_Trial","count_Trial_EXPERIMENT_A","count_Trial_EXPERIMENT_B","count_Trial_Practice_A","count_Trial_Practice_B","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Break","response_Feedback","response_Procedure_Ins01","response_Procedure_Ins02","response_Procedure_Ins03","response_Ready","response_Response_Ins","response_Target_response","response_Title","response_time","response_time_Break","response_time_Feedback","response_time_Procedure_Ins01","response_time_Procedure_Ins02","response_time_Procedure_Ins03","response_time_Ready","response_time_Response_Ins","response_time_Target_response","response_time_Title","sampler_backend","soa","start","subject_nr","subject_parity","time_Block_EXPERIMENT_A","time_Block_EXPERIMENT_B","time_Block_Parctice_B","time_Block_Practice_A","time_Block_reset_EXPERIMENT_A","time_Block_reset_EXPERIMENT_B","time_Block_reset_Practice_A","time_Block_reset_Practice_B","time_Break","time_Decide_Color","time_EXPERIMENT_A","time_EXPERIMENT_B","time_EXP_A","time_EXP_B","time_Feedback","time_Initial","time_Intertrial","time_Practice_A","time_Practice_B","time_Prepare","time_Prepare_circle_compatible","time_Prepare_circle_incompatible","time_Prepare_rect_compatible","time_Prepare_rect_incompatible","time_Procedure_Ins01","time_Procedure_Ins02","time_Procedure_Ins03","time_Ready","time_Response_Ins","time_Select_Experiment","time_Target","time_Target_circle_compatible","time_Target_circle_incompatible","time_Target_rect_compatible","time_Target_rect_incompatible","time_Target_response","time_Target_response_BadResponse","time_Target_response_Correct","time_Target_response_Wrong","time_Target_response_logger","time_Title","time_Trial","time_Trial_EXPERIMENT_A","time_Trial_EXPERIMENT_B","time_Trial_Practice_A","time_Trial_Practice_B","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"n","no","yes","circle","0","0","2000","2000","black","no","xpyriment","legacy","blue","red","yellow","green","legacy","0","uniform","0","0","z","NA","NA","0","NA","NA","NA","NA","0","NA","0","0","0","0","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","500","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2421858","NA","NA","NA","2421173","NA","2423483","2421966","NA","2421173","2424483","NA","2424485","NA","NA","2419488","2419800","2420072","2420416","2419080","2417052","2424986","NA","2424988","NA","NA","2424989","2427093","NA","2426991","2427193","2418309","2421858","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","2000","1","yes","1024"
"y","no","yes","rect","0","0","2000","2000","black","no","xpyriment","legacy","blue","green","red","yellow","legacy","0","uniform","0","0","/","NA","NA","0","NA","NA","NA","NA","0","NA","1","0","0","0","0","NA","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","0","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2427979","NA","NA","NA","2421173","NA","2429599","2428079","NA","2421173","2430599","NA","2424485","2430655","NA","2419488","2419800","2420072","2420416","2419080","2417052","2430655","NA","2424988","2430661","NA","2430661","2432765","NA","2432663","2432865","2418309","2427979","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","4000","2","yes","1024"
"y","no","yes","circle","0","0","2000","2000","black","no","xpyriment","legacy","blue","green","red","yellow","legacy","0","uniform","0","0","z","NA","NA","0","NA","NA","NA","NA","0","NA","2","0","0","0","0","NA","2","2","0","0","2","2","2","2","2","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","0","2","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","500","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2433621","NA","NA","NA","2421173","NA","2435249","2433732","NA","2421173","2436249","2436251","2424485","2430655","NA","2419488","2419800","2420072","2420416","2419080","2417052","2436752","2436755","2424988","2430661","NA","2436755","2438859","NA","2438757","2438959","2418309","2433621","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","6000","3","yes","1024"
"n","no","yes","circle","0","0","2000","2000","black","no","xpyriment","legacy","blue","red","yellow","green","legacy","0","uniform","0","0","z","NA","NA","0","NA","NA","NA","NA","0","NA","3","0","0","0","0","NA","3","3","0","0","3","3","3","3","3","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","3","0","3","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","500","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2439850","NA","NA","NA","2421173","NA","2441480","2439955","NA","2421173","2442481","2436251","2442483","2430655","NA","2419488","2419800","2420072","2420416","2419080","2417052","2442983","2436755","2442985","2430661","NA","2442986","2445090","NA","2444988","2445190","2418309","2439850","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","8000","4","yes","1024"
"n","no","yes","rect","0","0","2000","2000","black","no","xpyriment","legacy","blue","red","green","yellow","legacy","0","uniform","0","0","/","NA","NA","0","NA","NA","NA","NA","0","NA","4","0","0","0","0","NA","4","4","0","0","4","4","4","4","4","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","0","4","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","500","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2445928","NA","NA","NA","2421173","NA","2447542","2446033","NA","2421173","2448542","2436251","2442483","2430655","2448544","2419488","2419800","2420072","2420416","2419080","2417052","2449045","2436755","2442985","2430661","2449047","2449048","2451152","NA","2451050","2451252","2418309","2445928","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","10000","5","yes","1024"
"y","no","yes","rect","0","0","2000","2000","black","no","xpyriment","legacy","blue","red","green","yellow","legacy","0","uniform","0","0","/","NA","NA","0","NA","NA","NA","NA","0","NA","5","0","0","0","0","NA","5","5","0","0","5","5","5","5","5","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","0","5","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","500","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2451985","NA","NA","NA","2421173","NA","2453604","2452086","NA","2421173","2454605","2436251","2442483","2454607","2448544","2419488","2419800","2420072","2420416","2419080","2417052","2455108","2436755","2442985","2455110","2449047","2455111","2457215","NA","2457113","2457315","2418309","2451984","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","12000","6","yes","1024"
"y","no","yes","rect","0","0","2000","2000","black","no","xpyriment","legacy","yellow","blue","green","red","legacy","0","uniform","0","0","/","NA","NA","0","NA","NA","NA","NA","0","NA","6","0","0","0","0","NA","6","6","0","0","6","6","6","6","6","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","0","6","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","500","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2458048","NA","NA","NA","2421173","NA","2459668","2458151","NA","2421173","2460668","2436251","2442483","2460670","2448544","2419488","2419800","2420072","2420416","2419080","2417052","2461171","2436755","2442985","2461173","2449047","2461174","2463278","NA","2463176","2463378","2418309","2458048","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","14000","7","yes","1024"
"y","no","yes","rect","0","0","2000","2000","black","no","xpyriment","legacy","blue","green","red","yellow","legacy","0","uniform","0","0","/","NA","NA","0","NA","NA","NA","NA","0","NA","7","0","0","0","0","NA","7","7","0","0","7","7","7","7","7","0","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","0","7","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","0","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2464102","NA","NA","NA","2421173","NA","2465719","2464202","NA","2421173","2466719","2436251","2442483","2466722","2448544","2419488","2419800","2420072","2420416","2419080","2417052","2466722","2436755","2442985","2466726","2449047","2466726","2468830","NA","2468728","2468930","2418309","2464102","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","16000","8","yes","1024"
"n","no","yes","circle","0","0","2000","2000","black","no","xpyriment","legacy","yellow","green","red","blue","legacy","0","uniform","0","0","z","NA","NA","0","NA","NA","NA","NA","0","NA","8","0","0","0","0","NA","8","8","0","0","8","8","8","8","8","0","0","0","0","0","0","8","8","8","8","8","8","8","8","8","8","0","8","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","0","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2469721","NA","NA","NA","2421173","NA","2471349","2469845","NA","2421173","2472349","2436251","2472351","2466722","2448544","2419488","2419800","2420072","2420416","2419080","2417052","2472351","2436755","2472353","2466726","2449047","2472354","2474459","NA","2474357","2474559","2418309","2469721","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","18000","9","yes","1024"
"n","no","yes","rect","0","0","2000","2000","black","no","xpyriment","legacy","red","blue","green","yellow","legacy","0","uniform","0","0","/","NA","NA","0","NA","NA","NA","NA","0","NA","9","0","0","0","0","NA","9","9","0","0","9","9","9","9","9","0","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","0","9","NA","NA","NA","0","0","12/24/15 15:19:50","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","F:\TCU\Lecture\Experimental_Psychology\2015Fall\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.4","NA","0","None","NA","NA","space","space","space","space","space","None","space","2000","NA","NA","309","269","341","757","405","2000","768","legacy","0","experiment","999","odd","NA","NA","2421176","NA","NA","NA","NA","NA","NA","2475353","NA","NA","NA","2421173","NA","2481959","2475444","NA","2421173","2482960","2436251","2472351","2466722","2482968","2419488","2419800","2420072","2420416","2419080","2417052","2482968","2436755","2472353","2466726","2482971","2482971","2485075","NA","2484973","2485175","2418309","2475353","NA","NA","NA","2421176","2417051","Hommel2002EXP01","0","20000","10","yes","1024"
