"Compatibility","EXPA","EXPB","Shape","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color1","color2","color3","color4","color_backend","compensation","coordinates","correct","correct_Target_response","correct_response","count_Block_Break","count_Block_EXPERIMENT_A","count_Block_EXPERIMENT_B","count_Block_Parctice_B","count_Block_Practice_A","count_Block_reset_EXPERIMENT_A","count_Block_reset_EXPERIMENT_B","count_Block_reset_Practice_A","count_Block_reset_Practice_B","count_Break","count_Decide_Color","count_EXPERIMENT_A","count_EXPERIMENT_B","count_EXP_A","count_EXP_B","count_Initial","count_Intertrial","count_Practice_A","count_Practice_B","count_Prepare","count_Prepare_circle_compatible","count_Prepare_circle_incompatible","count_Prepare_rect_compatible","count_Prepare_rect_incompatible","count_Procedure_Ins01","count_Procedure_Ins02","count_Procedure_Ins03","count_Ready","count_Response_Ins","count_Select_Experiment","count_Target","count_Target_circle_compatible","count_Target_circle_incompatible","count_Target_rect_compatible","count_Target_rect_incompatible","count_Target_response","count_Target_response_BadResponse","count_Target_response_Correct","count_Target_response_Wrong","count_Target_response_logger","count_Title","count_Trial","count_Trial_EXPERIMENT_A","count_Trial_EXPERIMENT_B","count_Trial_Practice_A","count_Trial_Practice_B","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Block_Break","response_Break","response_Procedure_Ins01","response_Procedure_Ins02","response_Procedure_Ins03","response_Ready","response_Response_Ins","response_Target_response","response_Title","response_time","response_time_Block_Break","response_time_Break","response_time_Procedure_Ins01","response_time_Procedure_Ins02","response_time_Procedure_Ins03","response_time_Ready","response_time_Response_Ins","response_time_Target_response","response_time_Title","sampler_backend","soa","start","subject_nr","subject_parity","time_Block_Break","time_Block_EXPERIMENT_A","time_Block_EXPERIMENT_B","time_Block_Parctice_B","time_Block_Practice_A","time_Block_reset_EXPERIMENT_A","time_Block_reset_EXPERIMENT_B","time_Block_reset_Practice_A","time_Block_reset_Practice_B","time_Break","time_Decide_Color","time_EXPERIMENT_A","time_EXPERIMENT_B","time_EXP_A","time_EXP_B","time_Initial","time_Intertrial","time_Practice_A","time_Practice_B","time_Prepare","time_Prepare_circle_compatible","time_Prepare_circle_incompatible","time_Prepare_rect_compatible","time_Prepare_rect_incompatible","time_Procedure_Ins01","time_Procedure_Ins02","time_Procedure_Ins03","time_Ready","time_Response_Ins","time_Select_Experiment","time_Target","time_Target_circle_compatible","time_Target_circle_incompatible","time_Target_rect_compatible","time_Target_rect_incompatible","time_Target_response","time_Target_response_BadResponse","time_Target_response_Correct","time_Target_response_Wrong","time_Target_response_logger","time_Title","time_Trial","time_Trial_EXPERIMENT_A","time_Trial_EXPERIMENT_B","time_Trial_Practice_A","time_Trial_Practice_B","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"y","no","yes","rect","100","100","1449","1449","black","no","xpyriment","legacy","yellow","green","blue","red","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","12/30/15 00:31:36","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:\Users\Evonne\Desktop\test\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","1449","NA","NA","1131","1056","1079","889","6039","1449","1844","legacy","0","experiment","999","odd","NA","NA","NA","70489","NA","NA","NA","NA","NA","NA","73849","NA","NA","NA","70455","75626","74038","NA","70455","76627","NA","NA","76649","NA","66279","67417","68479","69563","60234","9635","76650","NA","NA","76657","NA","76658","NA","78115","NA","78216","58336","73847","NA","NA","NA","70490","9461","Hommel2002EXP01","1","1449","1","yes","1024"
"y","no","yes","rect","100","100","1078","1078","black","no","xpyriment","legacy","yellow","green","blue","red","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","1","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","NA","NA","NA","0","0","12/30/15 00:31:36","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:\Users\Evonne\Desktop\test\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","707","NA","NA","1131","1056","1079","889","6039","707","1844","legacy","500","experiment","999","odd","NA","NA","NA","70489","NA","NA","NA","NA","NA","NA","81965","NA","NA","NA","70455","83703","82166","NA","70455","84703","NA","NA","84708","NA","66279","67417","68479","69563","60234","9635","85208","NA","NA","85212","NA","85213","NA","85927","NA","86027","58336","81965","NA","NA","NA","70490","9461","Hommel2002EXP01","2","2156","2","yes","1024"
"y","no","yes","rect","100","100","909","909","black","no","xpyriment","legacy","blue","green","red","yellow","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","2","0","0","0","0","2","2","0","0","2","2","2","2","2","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","0","2","NA","NA","NA","0","0","12/30/15 00:31:36","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:\Users\Evonne\Desktop\test\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","572","NA","NA","1131","1056","1079","889","6039","572","1844","legacy","500","experiment","999","odd","NA","NA","NA","70489","NA","NA","NA","NA","NA","NA","89755","NA","NA","NA","70455","91500","89968","NA","70455","92503","NA","NA","92508","NA","66279","67417","68479","69563","60234","9635","93008","NA","NA","93017","NA","93018","NA","93598","NA","93698","58336","89754","NA","NA","NA","70490","9461","Hommel2002EXP01","3","2728","3","yes","1024"
"y","no","yes","circle","100","100","894","894","black","no","xpyriment","legacy","red","yellow","blue","green","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","3","0","0","0","0","3","3","0","0","3","3","3","3","3","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","3","0","3","NA","NA","NA","0","0","12/30/15 00:31:36","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:\Users\Evonne\Desktop\test\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","848","NA","NA","1131","1056","1079","889","6039","848","1844","legacy","500","experiment","999","odd","NA","NA","NA","70489","NA","NA","NA","NA","NA","NA","97555","NA","NA","NA","70455","99307","97773","NA","70455","100307","100311","NA","92508","NA","66279","67417","68479","69563","60234","9635","100812","100818","NA","93017","NA","100819","NA","101676","NA","101777","58336","97554","NA","NA","NA","70490","9461","Hommel2002EXP01","4","3576","4","yes","1024"
"n","no","yes","rect","100","100","851","851","black","no","xpyriment","legacy","yellow","blue","green","red","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","4","0","0","0","0","4","4","0","0","4","4","4","4","4","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","0","4","NA","NA","NA","0","0","12/30/15 00:31:36","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:\Users\Evonne\Desktop\test\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","679","NA","NA","1131","1056","1079","889","6039","679","1844","legacy","500","experiment","999","odd","NA","NA","NA","70489","NA","NA","NA","NA","NA","NA","105703","NA","NA","NA","70455","107470","105935","NA","70455","108471","100311","NA","92508","108476","66279","67417","68479","69563","60234","9635","108976","100818","NA","93017","108981","108982","NA","109675","NA","109776","58336","105703","NA","NA","NA","70490","9461","Hommel2002EXP01","5","4255","5","yes","1024"
"n","no","yes","rect","100","100","825","825","black","no","xpyriment","legacy","red","yellow","green","blue","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","5","0","0","0","0","5","5","0","0","5","5","5","5","5","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","0","5","NA","NA","NA","0","0","12/30/15 00:31:36","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:\Users\Evonne\Desktop\test\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","696","NA","NA","1131","1056","1079","889","6039","696","1844","legacy","500","experiment","999","odd","NA","NA","NA","70489","NA","NA","NA","NA","NA","NA","113452","NA","NA","NA","70455","115191","113660","NA","70455","116192","100311","NA","92508","116197","66279","67417","68479","69563","60234","9635","116697","100818","NA","93017","116701","116702","NA","117404","NA","117506","58336","113450","NA","NA","NA","70490","9461","Hommel2002EXP01","6","4951","6","yes","1024"
"n","no","yes","circle","100","100","833","833","black","no","xpyriment","legacy","red","blue","green","yellow","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","6","0","0","0","0","6","6","0","0","6","6","6","6","6","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","0","6","NA","NA","NA","0","0","12/30/15 00:31:36","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:\Users\Evonne\Desktop\test\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","882","NA","NA","1131","1056","1079","889","6039","882","1844","legacy","500","experiment","999","odd","NA","NA","NA","70489","NA","NA","NA","NA","NA","NA","121157","NA","NA","NA","70455","122839","121306","NA","70455","123839","100311","123844","92508","116197","66279","67417","68479","69563","60234","9635","124346","100818","124356","93017","116701","124359","NA","125248","NA","125349","58336","121155","NA","NA","NA","70490","9461","Hommel2002EXP01","7","5833","7","yes","1024"
"n","no","yes","circle","87.5","87.5","864","864","black","no","xpyriment","legacy","green","yellow","blue","red","legacy","0","uniform","0","0","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","7","0","0","0","0","7","7","0","0","7","7","7","7","7","0","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","0","7","NA","NA","NA","0","0","12/30/15 00:31:36","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:\Users\Evonne\Desktop\test\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","1084","NA","NA","1131","1056","1079","889","6039","1084","1844","legacy","0","experiment","999","odd","NA","NA","NA","70489","NA","NA","NA","NA","NA","NA","129592","NA","NA","NA","70455","131265","129735","NA","70455","132265","100311","132269","92508","116197","66279","67417","68479","69563","60234","9635","132270","100818","132274","93017","116701","132275","NA","125248","133366","133466","58336","129591","NA","NA","NA","70490","9461","Hommel2002EXP01","7","6917","8","yes","1024"
"y","no","yes","rect","88.8888888889","88.8888888889","843","843","black","no","xpyriment","legacy","yellow","red","blue","green","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","8","0","0","0","0","8","8","0","0","8","8","8","8","8","0","0","0","0","0","0","8","8","8","8","8","8","8","8","8","8","0","8","NA","NA","NA","0","0","12/30/15 00:31:36","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:\Users\Evonne\Desktop\test\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","676","NA","NA","1131","1056","1079","889","6039","676","1844","legacy","0","experiment","999","odd","NA","NA","NA","70489","NA","NA","NA","NA","NA","NA","137069","NA","NA","NA","70455","138817","137282","NA","70455","139817","100311","132269","139822","116197","66279","67417","68479","69563","60234","9635","139822","100818","132274","139827","116701","139827","NA","140511","133366","140611","58336","137068","NA","NA","NA","70490","9461","Hommel2002EXP01","8","7593","9","yes","1024"
"n","no","yes","circle","90","90","836","836","black","no","xpyriment","legacy","green","blue","yellow","red","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","9","0","0","0","0","9","9","0","0","9","9","9","9","9","0","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","0","9","NA","NA","NA","0","0","12/30/15 00:31:36","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:\Users\Evonne\Desktop\test\Compatibility\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","767","NA","NA","1131","1056","1079","889","6039","767","1844","legacy","500","experiment","999","odd","NA","NA","NA","70489","NA","NA","NA","NA","NA","NA","144497","NA","NA","NA","70455","146254","144719","NA","70455","147254","100311","147258","139822","116197","66279","67417","68479","69563","60234","9635","147759","100818","147764","139827","116701","147765","NA","148540","133366","148640","58336","144496","NA","NA","NA","70490","9461","Hommel2002EXP01","9","8360","10","yes","1024"
