"Compatibility","EXPA","EXPB","Shape","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color1","color2","color3","color4","color_backend","compensation","coordinates","correct","correct_Target_response","correct_response","count_Block_Break","count_Block_EXPERIMENT_A","count_Block_EXPERIMENT_B","count_Block_Parctice_B","count_Block_Practice_A","count_Block_reset_EXPERIMENT_A","count_Block_reset_EXPERIMENT_B","count_Block_reset_Practice_A","count_Block_reset_Practice_B","count_Break","count_Decide_Color","count_EXPERIMENT_A","count_EXPERIMENT_B","count_EXP_A","count_EXP_B","count_Initial","count_Intertrial","count_Practice_A","count_Practice_B","count_Prepare","count_Prepare_circle_compatible","count_Prepare_circle_incompatible","count_Prepare_rect_compatible","count_Prepare_rect_incompatible","count_Procedure_Ins01","count_Procedure_Ins02","count_Procedure_Ins03","count_Ready","count_Response_Ins","count_Select_Experiment","count_Target","count_Target_circle_compatible","count_Target_circle_incompatible","count_Target_rect_compatible","count_Target_rect_incompatible","count_Target_response","count_Target_response_BadResponse","count_Target_response_Correct","count_Target_response_Wrong","count_Target_response_logger","count_Title","count_Trial","count_Trial_EXPERIMENT_A","count_Trial_EXPERIMENT_B","count_Trial_Practice_A","count_Trial_Practice_B","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Block_Break","response_Break","response_Procedure_Ins01","response_Procedure_Ins02","response_Procedure_Ins03","response_Ready","response_Response_Ins","response_Target_response","response_Title","response_time","response_time_Block_Break","response_time_Break","response_time_Procedure_Ins01","response_time_Procedure_Ins02","response_time_Procedure_Ins03","response_time_Ready","response_time_Response_Ins","response_time_Target_response","response_time_Title","sampler_backend","soa","start","subject_nr","subject_parity","time_Block_Break","time_Block_EXPERIMENT_A","time_Block_EXPERIMENT_B","time_Block_Parctice_B","time_Block_Practice_A","time_Block_reset_EXPERIMENT_A","time_Block_reset_EXPERIMENT_B","time_Block_reset_Practice_A","time_Block_reset_Practice_B","time_Break","time_Decide_Color","time_EXPERIMENT_A","time_EXPERIMENT_B","time_EXP_A","time_EXP_B","time_Initial","time_Intertrial","time_Practice_A","time_Practice_B","time_Prepare","time_Prepare_circle_compatible","time_Prepare_circle_incompatible","time_Prepare_rect_compatible","time_Prepare_rect_incompatible","time_Procedure_Ins01","time_Procedure_Ins02","time_Procedure_Ins03","time_Ready","time_Response_Ins","time_Select_Experiment","time_Target","time_Target_circle_compatible","time_Target_circle_incompatible","time_Target_rect_compatible","time_Target_rect_incompatible","time_Target_response","time_Target_response_BadResponse","time_Target_response_Correct","time_Target_response_Wrong","time_Target_response_logger","time_Title","time_Trial","time_Trial_EXPERIMENT_A","time_Trial_EXPERIMENT_B","time_Trial_Practice_A","time_Trial_Practice_B","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"y","yes","no","rect","0","0","756","756","black","no","xpyriment","legacy","blue","red","yellow","green","legacy","0","uniform","0","0","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","0","NA","0","01/02/16 20:06:05","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-3.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","/","z","space","756","NA","NA","5364","4819","1315","24654","2330","756","1740","legacy","1000","experiment","1","odd","NA","NA","NA","NA","80903","NA","NA","NA","NA","NA","84222","NA","NA","80892","NA","86058","84512","80892","NA","87058","NA","NA","87061","NA","44715","50095","54918","56237","42381","7506","88061","NA","NA","88064","NA","88064","NA","NA","88825","88925","40605","84221","NA","NA","80904","NA","7359","Hommel2002EXP01","0","756","1","yes","1024"
"y","yes","no","rect","50","50","848","848","black","no","xpyriment","legacy","green","red","yellow","blue","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","1","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","NA","NA","0","NA","0","01/02/16 20:06:05","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-3.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","/","/","space","941","NA","NA","5364","4819","1315","24654","2330","941","1740","legacy","500","experiment","1","odd","NA","NA","NA","NA","80903","NA","NA","NA","NA","NA","92893","NA","NA","80892","NA","94727","93187","80892","NA","95728","NA","NA","95731","NA","44715","50095","54918","56237","42381","7506","96231","NA","NA","96234","NA","96234","NA","97180","88825","97281","40605","92891","NA","NA","80904","NA","7359","Hommel2002EXP01","1","1697","2","yes","1024"
"n","yes","no","rect","66.6666666667","66.6666666667","964","964","black","no","xpyriment","legacy","yellow","green","blue","red","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","2","0","0","0","0","2","2","0","0","2","2","2","2","2","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","0","2","NA","NA","0","NA","0","01/02/16 20:06:05","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-3.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","/","/","space","1196","NA","NA","5364","4819","1315","24654","2330","1196","1740","legacy","0","experiment","1","odd","NA","NA","NA","NA","80903","NA","NA","NA","NA","NA","101104","NA","NA","80892","NA","102938","101392","80892","NA","103938","NA","NA","95731","103941","44715","50095","54918","56237","42381","7506","103942","NA","NA","96234","103945","103945","NA","105146","88825","105246","40605","101103","NA","NA","80904","NA","7359","Hommel2002EXP01","2","2893","3","yes","1024"
"y","yes","no","circle","75","75","964","964","black","no","xpyriment","legacy","yellow","red","green","blue","legacy","0","uniform","1","1","z","1","NA","NA","NA","0","NA","NA","0","NA","NA","3","0","0","0","0","3","3","0","0","3","3","3","3","3","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","3","0","3","NA","NA","0","NA","0","01/02/16 20:06:05","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-3.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","/","z","space","965","NA","NA","5364","4819","1315","24654","2330","965","1740","legacy","1500","experiment","1","odd","NA","NA","NA","NA","80903","NA","NA","NA","NA","NA","109281","NA","NA","80892","NA","111137","109635","80892","NA","112138","112142","NA","95731","103941","44715","50095","54918","56237","42381","7506","113642","113645","NA","96234","103945","113646","NA","114616","88825","114716","40605","109280","NA","NA","80904","NA","7359","Hommel2002EXP01","3","3858","4","yes","1024"
"n","yes","no","rect","80","80","925","925","black","no","xpyriment","legacy","red","blue","green","yellow","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","4","0","0","0","0","4","4","0","0","4","4","4","4","4","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","0","4","NA","NA","0","NA","0","01/02/16 20:06:05","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-3.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","/","/","space","769","NA","NA","5364","4819","1315","24654","2330","769","1740","legacy","1500","experiment","1","odd","NA","NA","NA","NA","80903","NA","NA","NA","NA","NA","118293","NA","NA","80892","NA","120126","118583","80892","NA","121126","112142","NA","95731","121130","44715","50095","54918","56237","42381","7506","122630","113645","NA","96234","122633","122634","NA","123408","88825","123508","40605","118292","NA","NA","80904","NA","7359","Hommel2002EXP01","4","4627","5","yes","1024"
"y","yes","no","rect","83.3333333333","83.3333333333","1020","1020","black","no","xpyriment","legacy","red","blue","yellow","green","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","5","0","0","0","0","5","5","0","0","5","5","5","5","5","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","0","5","NA","NA","0","NA","0","01/02/16 20:06:05","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-3.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","/","/","space","1497","NA","NA","5364","4819","1315","24654","2330","1497","1740","legacy","0","experiment","1","odd","NA","NA","NA","NA","80903","NA","NA","NA","NA","NA","127204","NA","NA","80892","NA","129019","127479","80892","NA","130019","112142","NA","130022","121130","44715","50095","54918","56237","42381","7506","130022","113645","NA","130026","122633","130026","NA","131528","88825","131628","40605","127204","NA","NA","80904","NA","7359","Hommel2002EXP01","5","6124","6","yes","1024"
"y","yes","no","circle","85.7142857143","85.7142857143","1002","1002","black","no","xpyriment","legacy","green","red","yellow","blue","legacy","0","uniform","1","1","z","1","NA","NA","NA","0","NA","NA","0","NA","NA","6","0","0","0","0","6","6","0","0","6","6","6","6","6","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","0","6","NA","NA","0","NA","0","01/02/16 20:06:05","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-3.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","/","z","space","896","NA","NA","5364","4819","1315","24654","2330","896","1740","legacy","1500","experiment","1","odd","NA","NA","NA","NA","80903","NA","NA","NA","NA","NA","135432","NA","NA","80892","NA","137257","135710","80892","NA","138258","138261","NA","130022","121130","44715","50095","54918","56237","42381","7506","139761","139765","NA","130026","122633","139765","NA","140666","88825","140766","40605","135431","NA","NA","80904","NA","7359","Hommel2002EXP01","6","7020","7","yes","1024"
"n","yes","no","rect","87.5","87.5","983","983","black","no","xpyriment","legacy","blue","yellow","red","green","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","7","0","0","0","0","7","7","0","0","7","7","7","7","7","0","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","0","7","NA","NA","0","NA","0","01/02/16 20:06:05","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-3.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","/","/","space","848","NA","NA","5364","4819","1315","24654","2330","848","1740","legacy","1500","experiment","1","odd","NA","NA","NA","NA","80903","NA","NA","NA","NA","NA","144695","NA","NA","80892","NA","146534","144995","80892","NA","147534","138261","NA","130022","147537","44715","50095","54918","56237","42381","7506","149037","139765","NA","130026","149041","149041","NA","149894","88825","149994","40605","144694","NA","NA","80904","NA","7359","Hommel2002EXP01","7","7868","8","yes","1024"
"n","yes","no","rect","88.8888888889","88.8888888889","956","956","black","no","xpyriment","legacy","yellow","blue","green","red","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","8","0","0","0","0","8","8","0","0","8","8","8","8","8","0","0","0","0","0","0","8","8","8","8","8","8","8","8","8","8","0","8","NA","NA","0","NA","0","01/02/16 20:06:05","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-3.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","/","/","space","740","NA","NA","5364","4819","1315","24654","2330","740","1740","legacy","500","experiment","1","odd","NA","NA","NA","NA","80903","NA","NA","NA","NA","NA","153973","NA","NA","80892","NA","155799","154255","80892","NA","156800","138261","NA","130022","156803","44715","50095","54918","56237","42381","7506","157303","139765","NA","130026","157306","157306","NA","158051","88825","158152","40605","153972","NA","NA","80904","NA","7359","Hommel2002EXP01","8","8608","9","yes","1024"
"y","yes","no","rect","90","90","967","967","black","no","xpyriment","legacy","red","blue","yellow","green","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","9","0","0","0","0","9","9","0","0","9","9","9","9","9","0","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","0","9","NA","NA","0","NA","0","01/02/16 20:06:05","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-3.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","/","/","space","1067","NA","NA","5364","4819","1315","24654","2330","1067","1740","legacy","1500","experiment","1","odd","NA","NA","NA","NA","80903","NA","NA","NA","NA","NA","162062","NA","NA","80892","NA","163909","162355","80892","NA","164909","138261","NA","164912","156803","44715","50095","54918","56237","42381","7506","166412","139765","NA","166634","157306","166634","NA","167706","88825","167806","40605","162062","NA","NA","80904","NA","7359","Hommel2002EXP01","9","9675","10","yes","1024"
