"Compatibility","EXPA","EXPB","Shape","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color1","color2","color3","color4","color_backend","compensation","coordinates","correct","correct_Target_response","correct_response","count_Block_Break","count_Block_EXPERIMENT_A","count_Block_EXPERIMENT_B","count_Block_Parctice_B","count_Block_Practice_A","count_Block_reset_EXPERIMENT_A","count_Block_reset_EXPERIMENT_B","count_Block_reset_Practice_A","count_Block_reset_Practice_B","count_Break","count_Decide_Color","count_EXPERIMENT_A","count_EXPERIMENT_B","count_EXP_A","count_EXP_B","count_Initial","count_Intertrial","count_Practice_A","count_Practice_B","count_Prepare","count_Prepare_circle_compatible","count_Prepare_circle_incompatible","count_Prepare_rect_compatible","count_Prepare_rect_incompatible","count_Procedure_Ins01","count_Procedure_Ins02","count_Procedure_Ins03","count_Ready","count_Response_Ins","count_Select_Experiment","count_Target","count_Target_circle_compatible","count_Target_circle_incompatible","count_Target_rect_compatible","count_Target_rect_incompatible","count_Target_response","count_Target_response_BadResponse","count_Target_response_Correct","count_Target_response_Wrong","count_Target_response_logger","count_Title","count_Trial","count_Trial_EXPERIMENT_A","count_Trial_EXPERIMENT_B","count_Trial_Practice_A","count_Trial_Practice_B","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Block_Break","response_Break","response_Procedure_Ins01","response_Procedure_Ins02","response_Procedure_Ins03","response_Ready","response_Response_Ins","response_Target_response","response_Title","response_time","response_time_Block_Break","response_time_Break","response_time_Procedure_Ins01","response_time_Procedure_Ins02","response_time_Procedure_Ins03","response_time_Ready","response_time_Response_Ins","response_time_Target_response","response_time_Title","sampler_backend","soa","start","subject_nr","subject_parity","time_Block_Break","time_Block_EXPERIMENT_A","time_Block_EXPERIMENT_B","time_Block_Parctice_B","time_Block_Practice_A","time_Block_reset_EXPERIMENT_A","time_Block_reset_EXPERIMENT_B","time_Block_reset_Practice_A","time_Block_reset_Practice_B","time_Break","time_Decide_Color","time_EXPERIMENT_A","time_EXPERIMENT_B","time_EXP_A","time_EXP_B","time_Initial","time_Intertrial","time_Practice_A","time_Practice_B","time_Prepare","time_Prepare_circle_compatible","time_Prepare_circle_incompatible","time_Prepare_rect_compatible","time_Prepare_rect_incompatible","time_Procedure_Ins01","time_Procedure_Ins02","time_Procedure_Ins03","time_Ready","time_Response_Ins","time_Select_Experiment","time_Target","time_Target_circle_compatible","time_Target_circle_incompatible","time_Target_rect_compatible","time_Target_rect_incompatible","time_Target_response","time_Target_response_BadResponse","time_Target_response_Correct","time_Target_response_Wrong","time_Target_response_logger","time_Title","time_Trial","time_Trial_EXPERIMENT_A","time_Trial_EXPERIMENT_B","time_Trial_Practice_A","time_Trial_Practice_B","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"n","no","yes","circle","100","100","1425","1425","black","no","xpyriment","legacy","red","green","yellow","blue","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","1425","NA","NA","3410","5441","5182","3954","4320","1425","2737","legacy","500","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","88454","NA","NA","NA","84614","90221","88668","NA","84614","91221","NA","91225","NA","NA","66606","70022","75469","80658","62266","10096","91725","NA","91729","NA","NA","91729","NA","93160","NA","93260","59469","88453","NA","NA","NA","84625","9646","Hommel2002EXP01","1","1425","1","yes","1024"
"y","no","yes","rect","50","50","1712","1712","black","no","xpyriment","legacy","red","green","yellow","blue","legacy","0","uniform","0","0","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","1","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","None","NA","NA","space","space","/","space","space","None","space","2000","NA","NA","3410","5441","5182","3954","4320","2000","2737","legacy","500","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","97591","NA","NA","NA","84614","99392","97845","NA","84614","100393","NA","91225","100397","NA","66606","70022","75469","80658","62266","10096","100897","NA","91729","100901","NA","100901","103010","93160","102906","103110","59469","97590","NA","NA","NA","84625","9646","Hommel2002EXP01","1","3425","2","yes","1024"
"y","no","yes","rect","66.6666666667","66.6666666667","1443","1443","black","no","xpyriment","legacy","blue","green","red","yellow","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","2","0","0","0","0","2","2","0","0","2","2","2","2","2","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","0","2","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","906","NA","NA","3410","5441","5182","3954","4320","906","2737","legacy","500","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","107204","NA","NA","NA","84614","108931","107385","NA","84614","109932","NA","91225","109936","NA","66606","70022","75469","80658","62266","10096","110436","NA","91729","110442","NA","110443","103010","111355","102906","111455","59469","107203","NA","NA","NA","84625","9646","Hommel2002EXP01","2","4331","3","yes","1024"
"n","no","yes","rect","75","75","1269","1269","black","no","xpyriment","legacy","blue","yellow","red","green","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","3","0","0","0","0","3","3","0","0","3","3","3","3","3","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","3","0","3","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","748","NA","NA","3410","5441","5182","3954","4320","748","2737","legacy","500","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","115554","NA","NA","NA","84614","117301","115798","NA","84614","118301","NA","91225","109936","118305","66606","70022","75469","80658","62266","10096","118805","NA","91729","110442","118809","118809","103010","119563","102906","119663","59469","115553","NA","NA","NA","84625","9646","Hommel2002EXP01","3","5079","4","yes","1024"
"y","no","yes","rect","80","80","1194","1194","black","no","xpyriment","legacy","red","green","blue","yellow","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","4","0","0","0","0","4","4","0","0","4","4","4","4","4","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","0","4","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","894","NA","NA","3410","5441","5182","3954","4320","894","2737","legacy","0","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","123915","NA","NA","NA","84614","125598","124052","NA","84614","126599","NA","91225","126603","118305","66606","70022","75469","80658","62266","10096","126603","NA","91729","126607","118809","126607","103010","127508","102906","127609","59469","123915","NA","NA","NA","84625","9646","Hommel2002EXP01","4","5973","5","yes","1024"
"y","no","yes","circle","83.3333333333","83.3333333333","1116","1116","black","no","xpyriment","legacy","green","red","blue","yellow","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","5","0","0","0","0","5","5","0","0","5","5","5","5","5","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","0","5","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","724","NA","NA","3410","5441","5182","3954","4320","724","2737","legacy","500","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","131471","NA","NA","NA","84614","133249","131699","NA","84614","134249","134253","91225","126603","118305","66606","70022","75469","80658","62266","10096","134753","134757","91729","126607","118809","134757","103010","135486","102906","135587","59469","131470","NA","NA","NA","84625","9646","Hommel2002EXP01","5","6697","6","yes","1024"
"y","no","yes","circle","85.7142857143","85.7142857143","1094","1094","black","no","xpyriment","legacy","yellow","green","blue","red","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","6","0","0","0","0","6","6","0","0","6","6","6","6","6","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","0","6","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","965","NA","NA","3410","5441","5182","3954","4320","965","2737","legacy","0","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","139407","NA","NA","NA","84614","141143","139596","NA","84614","142144","142148","91225","126603","118305","66606","70022","75469","80658","62266","10096","142149","142154","91729","126607","118809","142154","103010","143125","102906","143225","59469","139406","NA","NA","NA","84625","9646","Hommel2002EXP01","6","7662","7","yes","1024"
"n","no","yes","circle","75","75","1063","1063","black","no","xpyriment","legacy","red","blue","yellow","green","legacy","0","uniform","0","0","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","7","0","0","0","0","7","7","0","0","7","7","7","7","7","0","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","0","7","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","844","NA","NA","3410","5441","5182","3954","4320","844","2737","legacy","0","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","147328","NA","NA","NA","84614","149035","147488","NA","84614","150036","142148","150040","126603","118305","66606","70022","75469","80658","62266","10096","150040","142154","150044","126607","118809","150044","103010","143125","150895","150995","59469","147327","NA","NA","NA","84625","9646","Hommel2002EXP01","6","8506","8","yes","1024"
"n","no","yes","rect","77.7777777778","77.7777777778","1050","1050","black","no","xpyriment","legacy","yellow","green","blue","red","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","8","0","0","0","0","8","8","0","0","8","8","8","8","8","0","0","0","0","0","0","8","8","8","8","8","8","8","8","8","8","0","8","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","951","NA","NA","3410","5441","5182","3954","4320","951","2737","legacy","500","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","155286","NA","NA","NA","84614","157083","155542","NA","84614","158084","142148","150040","126603","158088","66606","70022","75469","80658","62266","10096","158588","142154","150044","126607","158592","158592","103010","159550","150895","159650","59469","155286","NA","NA","NA","84625","9646","Hommel2002EXP01","7","9457","9","yes","1024"
"n","no","yes","rect","80","80","1019","1019","black","no","xpyriment","legacy","green","blue","yellow","red","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","9","0","0","0","0","9","9","0","0","9","9","9","9","9","0","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","0","9","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","737","NA","NA","3410","5441","5182","3954","4320","737","2737","legacy","0","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","164044","NA","NA","NA","84614","165969","164466","NA","84614","166969","142148","150040","126603","166973","66606","70022","75469","80658","62266","10096","166973","142154","150044","126607","166977","166978","103010","167720","150895","167820","59469","164044","NA","NA","NA","84625","9646","Hommel2002EXP01","8","10194","10","yes","1024"
"y","no","yes","circle","81.8181818182","81.8181818182","999","999","black","no","xpyriment","legacy","red","yellow","blue","green","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","10","0","0","0","0","10","10","0","0","10","10","10","10","10","0","0","0","0","0","0","10","10","10","10","10","10","10","10","10","10","0","10","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","802","NA","NA","3410","5441","5182","3954","4320","802","2737","legacy","500","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","171562","NA","NA","NA","84614","173244","171700","NA","84614","174244","174248","150040","126603","166973","66606","70022","75469","80658","62266","10096","174748","174752","150044","126607","166977","174752","103010","175560","150895","175660","59469","171562","NA","NA","NA","84625","9646","Hommel2002EXP01","9","10996","11","yes","1024"
"n","no","yes","rect","83.3333333333","83.3333333333","980","980","black","no","xpyriment","legacy","blue","green","yellow","red","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","11","0","0","0","0","11","11","0","0","11","11","11","11","11","0","0","0","0","0","0","11","11","11","11","11","11","11","11","11","11","0","11","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","774","NA","NA","3410","5441","5182","3954","4320","774","2737","legacy","0","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","179717","NA","NA","NA","84614","181486","179948","NA","84614","182487","174248","150040","126603","182491","66606","70022","75469","80658","62266","10096","182491","174752","150044","126607","182495","182495","103010","183275","150895","183375","59469","179716","NA","NA","NA","84625","9646","Hommel2002EXP01","10","11770","12","yes","1024"
"y","no","yes","circle","84.6153846154","84.6153846154","954","954","black","no","xpyriment","legacy","blue","green","red","yellow","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","12","0","0","0","0","12","12","0","0","12","12","12","12","12","0","0","0","0","0","0","12","12","12","12","12","12","12","12","12","12","0","12","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","633","NA","NA","3410","5441","5182","3954","4320","633","2737","legacy","0","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","187299","NA","NA","NA","84614","189004","187460","NA","84614","190004","190008","150040","126603","182491","66606","70022","75469","80658","62266","10096","190008","190012","150044","126607","182495","190012","103010","190651","150895","190751","59469","187299","NA","NA","NA","84625","9646","Hommel2002EXP01","11","12403","13","yes","1024"
"n","no","yes","circle","85.7142857143","85.7142857143","941","941","black","no","xpyriment","legacy","red","blue","yellow","green","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","13","0","0","0","0","13","13","0","0","13","13","13","13","13","0","0","0","0","0","0","13","13","13","13","13","13","13","13","13","13","0","13","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","781","NA","NA","3410","5441","5182","3954","4320","781","2737","legacy","500","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","194783","NA","NA","NA","84614","196497","194949","NA","84614","197497","190008","197501","126603","182491","66606","70022","75469","80658","62266","10096","198001","190012","198005","126607","182495","198005","103010","198791","150895","198891","59469","194783","NA","NA","NA","84625","9646","Hommel2002EXP01","12","13184","14","yes","1024"
"y","no","yes","rect","86.6666666667","86.6666666667","938","938","black","no","xpyriment","legacy","blue","yellow","green","red","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","14","0","0","0","0","14","14","0","0","14","14","14","14","14","0","0","0","0","0","0","14","14","14","14","14","14","14","14","14","14","0","14","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","890","NA","NA","3410","5441","5182","3954","4320","890","2737","legacy","0","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","202833","NA","NA","NA","84614","204595","203048","NA","84614","205596","190008","197501","205601","182491","66606","70022","75469","80658","62266","10096","205601","190012","198005","205606","182495","205607","103010","206502","150895","206602","59469","202833","NA","NA","NA","84625","9646","Hommel2002EXP01","13","14074","15","yes","1024"
"n","no","yes","circle","87.5","87.5","931","931","black","no","xpyriment","legacy","blue","yellow","red","green","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","15","0","0","0","0","15","15","0","0","15","15","15","15","15","0","0","0","0","0","0","15","15","15","15","15","15","15","15","15","15","0","15","NA","NA","NA","0","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","834","NA","NA","3410","5441","5182","3954","4320","834","2737","legacy","0","experiment","1","odd","NA","NA","NA","84624","NA","NA","NA","NA","NA","NA","210595","NA","NA","NA","84614","212402","210862","NA","84614","213402","190008","213406","205601","182491","66606","70022","75469","80658","62266","10096","213407","190012","213411","205606","182495","213411","103010","214250","150895","214351","59469","210595","NA","NA","NA","84625","9646","Hommel2002EXP01","14","14908","16","yes","1024"
"n","no","yes","circle","100","100","740","740","black","no","xpyriment","legacy","yellow","blue","red","green","legacy","0","uniform","1","1","z","1","NA","NA","1","NA","NA","NA","NA","1","NA","16","0","0","0","0","16","16","0","0","16","16","16","16","16","0","0","0","0","0","0","16","16","16","16","16","16","16","16","16","16","0","16","NA","NA","NA","1","0","01/05/16 12:07:35","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/B-2.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","740","NA","NA","3410","5441","5182","3954","4320","740","2737","legacy","500","experiment","1","odd","NA","NA","NA","214429","NA","NA","NA","NA","NA","NA","218542","NA","NA","NA","84614","220479","218975","NA","84614","221479","190008","221482","205601","182491","66606","70022","75469","80658","62266","10096","221983","190012","221987","205606","182495","221988","103010","222734","150895","222834","59469","218542","NA","NA","NA","214430","9646","Hommel2002EXP01","1","740","1","yes","1024"
