"Compatibility","EXPA","EXPB","Shape","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color1","color2","color3","color4","color_backend","compensation","coordinates","correct","correct_Target_response","correct_response","count_Block_Break","count_Block_EXPERIMENT_A","count_Block_EXPERIMENT_B","count_Block_Parctice_B","count_Block_Practice_A","count_Block_reset_EXPERIMENT_A","count_Block_reset_EXPERIMENT_B","count_Block_reset_Practice_A","count_Block_reset_Practice_B","count_Break","count_Decide_Color","count_EXPERIMENT_A","count_EXPERIMENT_B","count_EXP_A","count_EXP_B","count_Initial","count_Intertrial","count_Practice_A","count_Practice_B","count_Prepare","count_Prepare_circle_compatible","count_Prepare_circle_incompatible","count_Prepare_rect_compatible","count_Prepare_rect_incompatible","count_Procedure_Ins01","count_Procedure_Ins02","count_Procedure_Ins03","count_Ready","count_Response_Ins","count_Select_Experiment","count_Target","count_Target_circle_compatible","count_Target_circle_incompatible","count_Target_rect_compatible","count_Target_rect_incompatible","count_Target_response","count_Target_response_BadResponse","count_Target_response_Correct","count_Target_response_Wrong","count_Target_response_logger","count_Title","count_Trial","count_Trial_EXPERIMENT_A","count_Trial_EXPERIMENT_B","count_Trial_Practice_A","count_Trial_Practice_B","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Block_Break","response_Break","response_Procedure_Ins01","response_Procedure_Ins02","response_Procedure_Ins03","response_Ready","response_Response_Ins","response_Target_response","response_Title","response_time","response_time_Block_Break","response_time_Break","response_time_Procedure_Ins01","response_time_Procedure_Ins02","response_time_Procedure_Ins03","response_time_Ready","response_time_Response_Ins","response_time_Target_response","response_time_Title","sampler_backend","soa","start","subject_nr","subject_parity","time_Block_Break","time_Block_EXPERIMENT_A","time_Block_EXPERIMENT_B","time_Block_Parctice_B","time_Block_Practice_A","time_Block_reset_EXPERIMENT_A","time_Block_reset_EXPERIMENT_B","time_Block_reset_Practice_A","time_Block_reset_Practice_B","time_Break","time_Decide_Color","time_EXPERIMENT_A","time_EXPERIMENT_B","time_EXP_A","time_EXP_B","time_Initial","time_Intertrial","time_Practice_A","time_Practice_B","time_Prepare","time_Prepare_circle_compatible","time_Prepare_circle_incompatible","time_Prepare_rect_compatible","time_Prepare_rect_incompatible","time_Procedure_Ins01","time_Procedure_Ins02","time_Procedure_Ins03","time_Ready","time_Response_Ins","time_Select_Experiment","time_Target","time_Target_circle_compatible","time_Target_circle_incompatible","time_Target_rect_compatible","time_Target_rect_incompatible","time_Target_response","time_Target_response_BadResponse","time_Target_response_Correct","time_Target_response_Wrong","time_Target_response_logger","time_Title","time_Trial","time_Trial_EXPERIMENT_A","time_Trial_EXPERIMENT_B","time_Trial_Practice_A","time_Trial_Practice_B","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"n","yes","no","circle","100","100","1334","1334","black","no","xpyriment","legacy","yellow","green","blue","red","legacy","0","uniform","1","1","z","1","NA","NA","NA","0","NA","NA","0","NA","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","0","NA","0","01/01/16 11:46:17","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-1.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","1334","NA","NA","4112","8635","2222","21644","8606","1334","1775","legacy","500","experiment","1","odd","NA","NA","NA","NA","81505","NA","NA","NA","NA","NA","85808","NA","NA","81494","NA","87517","85973","81494","NA","88517","NA","88520","NA","NA","44853","48982","57622","59849","36243","6021","89020","NA","89023","NA","NA","89024","NA","90363","NA","90463","34423","85807","NA","NA","81505","NA","5929","Hommel2002EXP01","1","1334","1","yes","1024"
"n","yes","no","rect","100","100","1077","1077","black","no","xpyriment","legacy","red","blue","yellow","green","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","1","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","NA","NA","0","NA","0","01/01/16 11:46:17","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-1.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","820","NA","NA","4112","8635","2222","21644","8606","820","1775","legacy","1000","experiment","1","odd","NA","NA","NA","NA","81505","NA","NA","NA","NA","NA","94484","NA","NA","81494","NA","96310","94769","81494","NA","97310","NA","88520","NA","97313","44853","48982","57622","59849","36243","6021","98313","NA","89023","NA","98316","98316","NA","99141","NA","99241","34423","94484","NA","NA","81505","NA","5929","Hommel2002EXP01","2","2154","2","yes","1024"
"n","yes","no","circle","100","100","1081","1081","black","no","xpyriment","legacy","blue","yellow","green","red","legacy","0","uniform","1","1","z","1","NA","NA","NA","0","NA","NA","0","NA","NA","2","0","0","0","0","2","2","0","0","2","2","2","2","2","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","0","2","NA","NA","0","NA","0","01/01/16 11:46:17","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-1.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","1091","NA","NA","4112","8635","2222","21644","8606","1091","1775","legacy","1500","experiment","1","odd","NA","NA","NA","NA","81505","NA","NA","NA","NA","NA","103089","NA","NA","81494","NA","104914","103367","81494","NA","105915","NA","105918","NA","97313","44853","48982","57622","59849","36243","6021","107418","NA","107421","NA","98316","107422","NA","108518","NA","108618","34423","103088","NA","NA","81505","NA","5929","Hommel2002EXP01","3","3245","3","yes","1024"
"y","yes","no","circle","100","100","1015","1015","black","no","xpyriment","legacy","red","yellow","green","blue","legacy","0","uniform","1","1","z","1","NA","NA","NA","0","NA","NA","0","NA","NA","3","0","0","0","0","3","3","0","0","3","3","3","3","3","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","3","0","3","NA","NA","0","NA","0","01/01/16 11:46:17","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-1.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","818","NA","NA","4112","8635","2222","21644","8606","818","1775","legacy","1000","experiment","1","odd","NA","NA","NA","NA","81505","NA","NA","NA","NA","NA","112552","NA","NA","81494","NA","114352","112850","81494","NA","115353","115356","105918","NA","97313","44853","48982","57622","59849","36243","6021","116356","116359","107421","NA","98316","116360","NA","117183","NA","117283","34423","112552","NA","NA","81505","NA","5929","Hommel2002EXP01","4","4063","4","yes","1024"
"n","yes","no","rect","100","100","966","966","black","no","xpyriment","legacy","blue","yellow","red","green","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","4","0","0","0","0","4","4","0","0","4","4","4","4","4","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","0","4","NA","NA","0","NA","0","01/01/16 11:46:17","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-1.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","769","NA","NA","4112","8635","2222","21644","8606","769","1775","legacy","1500","experiment","1","odd","NA","NA","NA","NA","81505","NA","NA","NA","NA","NA","121430","NA","NA","81494","NA","123119","121569","81494","NA","124120","115356","105918","NA","124123","44853","48982","57622","59849","36243","6021","125623","116359","107421","NA","125626","125627","NA","126400","NA","126501","34423","121430","NA","NA","81505","NA","5929","Hommel2002EXP01","5","4832","5","yes","1024"
"n","yes","no","rect","100","100","952","952","black","no","xpyriment","legacy","blue","red","yellow","green","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","5","0","0","0","0","5","5","0","0","5","5","5","5","5","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","0","5","NA","NA","0","NA","0","01/01/16 11:46:17","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-1.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","882","NA","NA","4112","8635","2222","21644","8606","882","1775","legacy","500","experiment","1","odd","NA","NA","NA","NA","81505","NA","NA","NA","NA","NA","130408","NA","NA","81494","NA","132225","130682","81494","NA","133226","115356","105918","NA","133229","44853","48982","57622","59849","36243","6021","133729","116359","107421","NA","133732","133732","NA","134619","NA","134720","34423","130408","NA","NA","81505","NA","5929","Hommel2002EXP01","6","5714","6","yes","1024"
"y","yes","no","rect","100","100","937","937","black","no","xpyriment","legacy","red","blue","green","yellow","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","6","0","0","0","0","6","6","0","0","6","6","6","6","6","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","0","6","NA","NA","0","NA","0","01/01/16 11:46:17","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-1.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","850","NA","NA","4112","8635","2222","21644","8606","850","1775","legacy","500","experiment","1","odd","NA","NA","NA","NA","81505","NA","NA","NA","NA","NA","138839","NA","NA","81494","NA","140584","139038","81494","NA","141584","115356","105918","141587","133229","44853","48982","57622","59849","36243","6021","142087","116359","107421","142090","133732","142090","NA","142945","NA","143045","34423","138838","NA","NA","81505","NA","5929","Hommel2002EXP01","7","6564","7","yes","1024"
"y","yes","no","circle","100","100","936","936","black","no","xpyriment","legacy","red","green","yellow","blue","legacy","0","uniform","1","1","z","1","NA","NA","NA","0","NA","NA","0","NA","NA","7","0","0","0","0","7","7","0","0","7","7","7","7","7","0","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","0","7","NA","NA","0","NA","0","01/01/16 11:46:17","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-1.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","926","NA","NA","4112","8635","2222","21644","8606","926","1775","legacy","1500","experiment","1","odd","NA","NA","NA","NA","81505","NA","NA","NA","NA","NA","147421","NA","NA","81494","NA","149120","147570","81494","NA","150120","150123","105918","141587","133229","44853","48982","57622","59849","36243","6021","151623","151627","107421","142090","133732","151627","NA","152558","NA","152658","34423","147421","NA","NA","81505","NA","5929","Hommel2002EXP01","8","7490","8","yes","1024"
"y","yes","no","rect","88.8888888889","88.8888888889","1015","1015","black","no","xpyriment","legacy","blue","red","yellow","green","legacy","0","uniform","0","0","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","8","0","0","0","0","8","8","0","0","8","8","8","8","8","0","0","0","0","0","0","8","8","8","8","8","8","8","8","8","8","0","8","NA","NA","0","NA","0","01/01/16 11:46:17","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-1.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","space","space","/","space","space","z","space","1646","NA","NA","4112","8635","2222","21644","8606","1646","1775","legacy","0","experiment","1","odd","NA","NA","NA","NA","81505","NA","NA","NA","NA","NA","156867","NA","NA","81494","NA","158595","157048","81494","NA","159596","150123","105918","159600","133229","44853","48982","57622","59849","36243","6021","159601","151627","107421","159604","133732","159604","NA","152558","161255","161355","34423","156866","NA","NA","81505","NA","5929","Hommel2002EXP01","8","9136","9","yes","1024"
"n","yes","no","rect","90","90","989","989","black","no","xpyriment","legacy","red","blue","yellow","green","legacy","0","uniform","1","1","/","1","NA","NA","NA","0","NA","NA","0","NA","NA","9","0","0","0","0","9","9","0","0","9","9","9","9","9","0","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","0","9","NA","NA","0","NA","0","01/01/16 11:46:17","Default description","no","chinese-japanese-korean","no","18","white","開始實驗A","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-1.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","space","space","/","space","space","/","space","759","NA","NA","4112","8635","2222","21644","8606","759","1775","legacy","500","experiment","1","odd","NA","NA","NA","NA","81505","NA","NA","NA","NA","NA","165458","NA","NA","81494","NA","167253","165706","81494","NA","168254","150123","105918","159600","168257","44853","48982","57622","59849","36243","6021","168757","151627","107421","159604","168760","168761","NA","169526","161255","169626","34423","165457","NA","NA","81505","NA","5929","Hommel2002EXP01","9","9895","10","yes","1024"
