"Compatibility","EXPA","EXPB","Shape","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color1","color2","color3","color4","color_backend","compensation","coordinates","correct","correct_Target_response","correct_response","count_Block_Break","count_Block_EXPERIMENT_A","count_Block_EXPERIMENT_B","count_Block_Parctice_B","count_Block_Practice_A","count_Block_reset_EXPERIMENT_A","count_Block_reset_EXPERIMENT_B","count_Block_reset_Practice_A","count_Block_reset_Practice_B","count_Break","count_Decide_Color","count_EXPERIMENT_A","count_EXPERIMENT_B","count_EXP_A","count_EXP_B","count_Initial","count_Intertrial","count_Practice_A","count_Practice_B","count_Prepare","count_Prepare_circle_compatible","count_Prepare_circle_incompatible","count_Prepare_rect_compatible","count_Prepare_rect_incompatible","count_Procedure_Ins01","count_Procedure_Ins02","count_Procedure_Ins03","count_Ready","count_Response_Ins","count_Select_Experiment","count_Target","count_Target_circle_compatible","count_Target_circle_incompatible","count_Target_rect_compatible","count_Target_rect_incompatible","count_Target_response","count_Target_response_BadResponse","count_Target_response_Correct","count_Target_response_Wrong","count_Target_response_logger","count_Title","count_Trial","count_Trial_EXPERIMENT_A","count_Trial_EXPERIMENT_B","count_Trial_Practice_A","count_Trial_Practice_B","count_experiment","datetime","description","font_bold","font_family","font_italic","font_size","foreground","form_response","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_Block_Break","response_Break","response_Procedure_Ins01","response_Procedure_Ins02","response_Procedure_Ins03","response_Ready","response_Response_Ins","response_Target_response","response_Title","response_time","response_time_Block_Break","response_time_Break","response_time_Procedure_Ins01","response_time_Procedure_Ins02","response_time_Procedure_Ins03","response_time_Ready","response_time_Response_Ins","response_time_Target_response","response_time_Title","sampler_backend","soa","start","subject_nr","subject_parity","time_Block_Break","time_Block_EXPERIMENT_A","time_Block_EXPERIMENT_B","time_Block_Parctice_B","time_Block_Practice_A","time_Block_reset_EXPERIMENT_A","time_Block_reset_EXPERIMENT_B","time_Block_reset_Practice_A","time_Block_reset_Practice_B","time_Break","time_Decide_Color","time_EXPERIMENT_A","time_EXPERIMENT_B","time_EXP_A","time_EXP_B","time_Initial","time_Intertrial","time_Practice_A","time_Practice_B","time_Prepare","time_Prepare_circle_compatible","time_Prepare_circle_incompatible","time_Prepare_rect_compatible","time_Prepare_rect_incompatible","time_Procedure_Ins01","time_Procedure_Ins02","time_Procedure_Ins03","time_Ready","time_Response_Ins","time_Select_Experiment","time_Target","time_Target_circle_compatible","time_Target_circle_incompatible","time_Target_rect_compatible","time_Target_rect_incompatible","time_Target_response","time_Target_response_BadResponse","time_Target_response_Correct","time_Target_response_Wrong","time_Target_response_logger","time_Title","time_Trial","time_Trial_EXPERIMENT_A","time_Trial_EXPERIMENT_B","time_Trial_Practice_A","time_Trial_Practice_B","time_experiment","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"y","no","yes","circle","100","100","1432","1432","black","no","xpyriment","legacy","red","blue","yellow","green","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","NA","NA","NA","0","0","01/04/16 20:11:09","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-4.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","/","space","/","/","/","z","space","1432","NA","NA","3046","3539","9133","9036","2899","1432","35386","legacy","500","experiment","1","odd","NA","NA","NA","232464","NA","NA","NA","NA","NA","NA","236646","NA","NA","NA","232454","238485","236939","NA","232454","239485","239489","NA","NA","NA","207677","210730","214276","223416","204752","9878","239989","239993","NA","NA","NA","239994","NA","241432","NA","241532","169214","236645","NA","NA","NA","232465","9702","Hommel2002EXP01","1","1432","1","yes","1024"
"n","no","yes","rect","100","100","1146","1146","black","no","xpyriment","legacy","red","blue","green","yellow","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","1","0","0","0","0","1","1","0","0","1","1","1","1","1","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","0","1","NA","NA","NA","0","0","01/04/16 20:11:09","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-4.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","/","space","/","/","/","/","space","861","NA","NA","3046","3539","9133","9036","2899","861","35386","legacy","500","experiment","1","odd","NA","NA","NA","232464","NA","NA","NA","NA","NA","NA","245610","NA","NA","NA","232454","247443","245901","NA","232454","248444","239489","NA","NA","248448","207677","210730","214276","223416","204752","9878","248948","239993","NA","NA","248952","248952","NA","249819","NA","249919","169214","245610","NA","NA","NA","232465","9702","Hommel2002EXP01","2","2293","2","yes","1024"
"n","no","yes","circle","66.6666666667","66.6666666667","1431","1431","black","no","xpyriment","legacy","blue","red","green","yellow","legacy","0","uniform","0","0","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","2","0","0","0","0","2","2","0","0","2","2","2","2","2","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","0","2","NA","NA","NA","0","0","01/04/16 20:11:09","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-4.csv","xpyriment","Interactive Ising","3.0.2","yes","0","None","NA","NA","/","space","/","/","/","None","space","2001","NA","NA","3046","3539","9133","9036","2899","2001","35386","legacy","500","experiment","1","odd","NA","NA","NA","232464","NA","NA","NA","NA","NA","NA","254058","NA","NA","NA","232454","255902","254398","NA","232454","256902","239489","256906","NA","248448","207677","210730","214276","223416","204752","9878","257406","239993","257410","NA","248952","257410","259519","249819","259416","259619","169214","254057","NA","NA","NA","232465","9702","Hommel2002EXP01","2","4294","3","yes","1024"
"y","no","yes","rect","75","75","1333","1333","black","no","xpyriment","legacy","green","red","blue","yellow","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","3","0","0","0","0","3","3","0","0","3","3","3","3","3","0","0","0","0","0","0","3","3","3","3","3","3","3","3","3","3","0","3","NA","NA","NA","0","0","01/04/16 20:11:09","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-4.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","/","space","/","/","/","/","space","1040","NA","NA","3046","3539","9133","9036","2899","1040","35386","legacy","500","experiment","1","odd","NA","NA","NA","232464","NA","NA","NA","NA","NA","NA","263311","NA","NA","NA","232454","265131","263589","NA","232454","266132","239489","256906","266137","248448","207677","210730","214276","223416","204752","9878","266637","239993","257410","266642","248952","266642","259519","267688","259416","267788","169214","263310","NA","NA","NA","232465","9702","Hommel2002EXP01","3","5334","4","yes","1024"
"y","no","yes","circle","80","80","1255","1255","black","no","xpyriment","legacy","blue","red","yellow","green","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","4","0","0","0","0","4","4","0","0","4","4","4","4","4","0","0","0","0","0","0","4","4","4","4","4","4","4","4","4","4","0","4","NA","NA","NA","0","0","01/04/16 20:11:09","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-4.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","/","space","/","/","/","z","space","943","NA","NA","3046","3539","9133","9036","2899","943","35386","legacy","0","experiment","1","odd","NA","NA","NA","232464","NA","NA","NA","NA","NA","NA","271724","NA","NA","NA","232454","273552","272008","NA","232454","274553","274557","256906","266137","248448","207677","210730","214276","223416","204752","9878","274557","274561","257410","266642","248952","274562","259519","275511","259416","275611","169214","271723","NA","NA","NA","232465","9702","Hommel2002EXP01","4","6277","5","yes","1024"
"y","no","yes","rect","83.3333333333","83.3333333333","1216","1216","black","no","xpyriment","legacy","red","blue","yellow","green","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","5","0","0","0","0","5","5","0","0","5","5","5","5","5","0","0","0","0","0","0","5","5","5","5","5","5","5","5","5","5","0","5","NA","NA","NA","0","0","01/04/16 20:11:09","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-4.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","/","space","/","/","/","/","space","1020","NA","NA","3046","3539","9133","9036","2899","1020","35386","legacy","500","experiment","1","odd","NA","NA","NA","232464","NA","NA","NA","NA","NA","NA","279602","NA","NA","NA","232454","281433","279887","NA","232454","282433","274557","256906","282437","248448","207677","210730","214276","223416","204752","9878","282937","274561","257410","282941","248952","282941","259519","283967","259416","284067","169214","279601","NA","NA","NA","232465","9702","Hommel2002EXP01","5","7297","6","yes","1024"
"y","no","yes","circle","85.7142857143","85.7142857143","1146","1146","black","no","xpyriment","legacy","blue","green","red","yellow","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","6","0","0","0","0","6","6","0","0","6","6","6","6","6","0","0","0","0","0","0","6","6","6","6","6","6","6","6","6","6","0","6","NA","NA","NA","0","0","01/04/16 20:11:09","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-4.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","/","space","/","/","/","z","space","730","NA","NA","3046","3539","9133","9036","2899","730","35386","legacy","500","experiment","1","odd","NA","NA","NA","232464","NA","NA","NA","NA","NA","NA","287896","NA","NA","NA","232454","289745","288195","NA","232454","290746","290750","256906","282437","248448","207677","210730","214276","223416","204752","9878","291250","291254","257410","282941","248952","291254","259519","291991","259416","292092","169214","287895","NA","NA","NA","232465","9702","Hommel2002EXP01","6","8027","7","yes","1024"
"n","no","yes","circle","87.5","87.5","1135","1135","black","no","xpyriment","legacy","red","yellow","blue","green","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","7","0","0","0","0","7","7","0","0","7","7","7","7","7","0","0","0","0","0","0","7","7","7","7","7","7","7","7","7","7","0","7","NA","NA","NA","0","0","01/04/16 20:11:09","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-4.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","/","space","/","/","/","z","space","1055","NA","NA","3046","3539","9133","9036","2899","1055","35386","legacy","500","experiment","1","odd","NA","NA","NA","232464","NA","NA","NA","NA","NA","NA","296238","NA","NA","NA","232454","298070","296526","NA","232454","299070","290750","299074","282437","248448","207677","210730","214276","223416","204752","9878","299574","291254","299578","282941","248952","299578","259519","300639","259416","300739","169214","296237","NA","NA","NA","232465","9702","Hommel2002EXP01","7","9082","8","yes","1024"
"y","no","yes","circle","88.8888888889","88.8888888889","1135","1135","black","no","xpyriment","legacy","blue","green","red","yellow","legacy","0","uniform","1","1","z","1","NA","NA","0","NA","NA","NA","NA","0","NA","8","0","0","0","0","8","8","0","0","8","8","8","8","8","0","0","0","0","0","0","8","8","8","8","8","8","8","8","8","8","0","8","NA","NA","NA","0","0","01/04/16 20:11:09","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-4.csv","xpyriment","Interactive Ising","3.0.2","yes","0","z","NA","NA","/","space","/","/","/","z","space","1136","NA","NA","3046","3539","9133","9036","2899","1136","35386","legacy","0","experiment","1","odd","NA","NA","NA","232464","NA","NA","NA","NA","NA","NA","304900","NA","NA","NA","232454","306822","305319","NA","232454","307822","307826","299074","282437","248448","207677","210730","214276","223416","204752","9878","307826","307830","299578","282941","248952","307830","259519","308972","259416","309072","169214","304899","NA","NA","NA","232465","9702","Hommel2002EXP01","8","10218","9","yes","1024"
"n","no","yes","rect","90","90","1137","1137","black","no","xpyriment","legacy","yellow","red","blue","green","legacy","0","uniform","1","1","/","1","NA","NA","0","NA","NA","NA","NA","0","NA","9","0","0","0","0","9","9","0","0","9","9","9","9","9","0","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","0","9","NA","NA","NA","0","0","01/04/16 20:11:09","Default description","no","chinese-japanese-korean","no","18","white","開始實驗B","768","legacy","C:/Users/Evonne/Desktop/test/Compatibility/3_Data Collection/RAW/A-4.csv","xpyriment","Interactive Ising","3.0.2","yes","0","/","NA","NA","/","space","/","/","/","/","space","1152","NA","NA","3046","3539","9133","9036","2899","1152","35386","legacy","0","experiment","1","odd","NA","NA","NA","232464","NA","NA","NA","NA","NA","NA","312628","NA","NA","NA","232454","314349","312807","NA","232454","315349","307826","299074","282437","315353","207677","210730","214276","223416","204752","9878","315353","307830","299578","282941","315357","315357","259519","316515","259416","316615","169214","312627","NA","NA","NA","232465","9702","Hommel2002EXP01","9","11370","10","yes","1024"
